day,subjectivity,polarity
2020-02-19,0.36251396237507344,0.10699047435332157
2020-02-20,0.3439786324786324,0.0406868686868687
2020-02-21,0.4252777777777778,0.009305555555555544
2020-02-22,0.36761952861952857,0.07502188552188555
2020-02-23,0.3550782828282828,0.12611363636363634
2020-02-24,0.3731223893065998,0.1459043441938179
2020-02-25,0.44109220779220776,0.05251587301587301
2020-02-26,0.4001302946692557,0.10691852195423626
2020-02-27,0.4243217703454415,0.11053575623343065
2020-02-28,0.3894841820905651,0.04019119369352081
2020-02-29,0.4051253033660442,0.0246956455752752
2020-03-01,0.3772866216275306,0.04001532642441733
2020-03-02,0.39893865452409744,0.03660976857179389
2020-03-03,0.36166953576436334,0.0305541677551376
2020-03-04,0.32694132653061214,0.0410820723175634
2020-03-05,0.37425876217542864,0.06008890708890711
2020-03-06,0.4234655165110604,0.0809283762388284
2020-03-07,0.414593884251205,0.07835912998101473
2020-03-08,0.4199896559036345,0.08474086745592121
2020-03-09,0.3513580759257451,0.058532730410080024
2020-03-10,0.3613269151086288,0.04855994597749088
2020-03-11,0.3300784857503607,0.03077598945986224
2020-03-12,0.36962607447448037,0.0761059686269412
2020-03-13,0.37465905172226843,0.07380670833766997
2020-03-14,0.35222692074895695,0.07034548589671194
2020-03-15,0.39988287522662525,0.08281241555364148
2020-03-16,0.39551069890396645,0.06941541683795888
2020-03-17,0.3957240775097919,0.06157322031655108
2020-03-18,0.3786451456912497,0.06358240143394363
2020-03-19,0.3625141094329469,0.09784713627098081
2020-03-20,0.39340379066617365,0.08350907008250666
2020-03-21,0.3668162280162277,0.0994011633857947
2020-03-22,0.3914197485083695,0.08019778397950991
2020-03-23,0.3825977611209094,0.036735806668346326
2020-03-24,0.37764738272324966,0.0969933880123294
2020-03-25,0.39760520383724424,0.09616320740243153
2020-03-26,0.36549086331828284,0.10107535706527637
2020-03-27,0.36745656781123043,0.07602261811711218
2020-03-28,0.40551572525089463,0.08586035394298107
2020-03-29,0.42201966897870263,0.06339342002583861
2020-03-30,0.3670679728120206,0.06528572287500863
2020-03-31,0.3307313311688312,0.06274471036118764
2020-04-01,0.35574222779345727,0.06956453319746576
2020-04-02,0.37929432357234094,0.06744068351826972
2020-04-03,0.35308869053135106,0.07681474186491388
2020-04-04,0.3852024399262986,0.09719377959321808
2020-04-05,0.373472751350571,0.05412915070583655
2020-04-06,0.36296647608420857,0.06956002088996277
2020-04-07,0.3282088572802858,0.022847369467267425
2020-04-08,0.34386333573833566,0.0572405022902182
2020-04-09,0.3551781705948373,0.08044526869660446
2020-04-10,0.3993566866931755,0.06390619942147481
2020-04-11,0.36607896295522047,0.10340299474062992
2020-04-12,0.45422069957459565,0.10137993806337961
2020-04-13,0.4087552930805569,0.10754576289535535
2020-04-14,0.3498451378743019,0.06387865943320557
2020-04-15,0.3920453890637508,0.06581139502890912
2020-04-16,0.35852601938496453,0.05116343800680579
2020-04-17,0.359877126257478,0.04058699507820301
2020-04-18,0.370519688975046,0.049972589827500524
2020-04-19,0.3629696709354795,0.023639849208613055
2020-04-20,0.3726073431234251,0.04831247542419014
2020-04-21,0.35528090898148923,0.052494891826237365
