date,tweetct,Confirmed,Deaths,Recovered
2020-02-19,30,15,0,3
2020-02-20,10,15,0,3
2020-02-21,5,35,0,5
2020-02-22,30,35,0,5
2020-02-23,10,35,0,5
2020-02-24,19,53,0,5
2020-02-25,25,53,0,6
2020-02-26,55,59,0,6
2020-02-27,86,60,0,6
2020-02-28,94,62,0,7
2020-02-29,81,70,1,7
2020-03-01,55,76,1,7
2020-03-02,79,101,6,7
2020-03-03,87,122,7,8
2020-03-04,80,153,11,8
2020-03-05,111,221,12,8
2020-03-06,109,278,14,8
2020-03-07,107,417,17,8
2020-03-08,93,537,21,8
2020-03-09,133,605,22,8
2020-03-10,183,959,28,8
2020-03-11,280,1281,36,8
2020-03-12,513,1663,40,12
2020-03-13,401,2179,47,12
2020-03-14,282,2726,54,12
2020-03-15,260,3499,63,12
2020-03-16,290,4632,85,17
2020-03-17,287,6421,108,17
2020-03-18,275,7786,118,106
2020-03-19,255,13680,200,108
2020-03-20,249,19101,244,147
2020-03-21,185,25514,307,171
2020-03-22,197,33848,427,0
2020-03-23,189,43663,552,0
2020-03-24,173,53736,706,348
2020-03-25,174,65778,942,361
2020-03-26,155,83836,1209,681
2020-03-27,168,101657,1581,869
2020-03-28,118,121465,2026,1072
2020-03-29,119,140909,2467,2665
2020-03-30,126,161831,2978,5644
2020-03-31,110,188172,3873,7024
2020-04-01,122,213372,4757,8474
2020-04-02,116,243599,5926,9001
2020-04-03,109,275586,7087,9707
2020-04-04,97,308853,8407,14652
2020-04-05,95,337072,9619,17448
2020-04-06,86,366667,10783,19581
2020-04-07,98,396223,12722,21763
2020-04-08,88,429052,14695,23559
2020-04-09,87,461437,16478,25410
2020-04-10,83,496535,18586,28790
2020-04-11,71,526396,20462,31270
2020-04-12,55,555313,22019,32988
2020-04-13,149,580619,23528,43482
2020-04-14,458,607670,25831,47763
2020-04-15,354,636350,28325,52096
2020-04-16,327,667801,32916,54703
2020-04-17,327,699706,36773,58545
2020-04-18,260,732197,38664,64840
2020-04-19,258,759086,40661,70337
2020-04-20,332,784326,42094,72329
2020-04-21,542,823786,44845,75204
